Sentence,Word,AoA,New,New AoA
The customer was very happy and gave Chef Chloe a big hug.,CUSTOMER,7.21,shopper,6.58
The Feathery Friends statue became a beloved part of the community and will always be remembered as a symbol of hope and joy.,COMMUNITY,7.28,group,5.94
"She said, ""I decree that the bulldozer must stop in its tracks and turn into a beautiful, sparkling unicorn!""",SPARKLING,7.56,shiny,4.32
"The bread had become giant, menacing creatures, and the pastries were mimicking the baker.",MENACING,10.84,scary,4.26
He handed Billy a small wooden box with a intricate design on it.,DESIGN,10.05,pattern,6.89
The bandanna crew rushed to Max's side and saw that he was flattened like a pancake.,CREW,7.56,team,6
Iggy told him about the bulldozer and the destruction it was causing.,DESTRUCTION,7.62,damage,7.2
"She held the seagull up to her face and stared into its bright, sparkling eyes.",SPARKLING,7.56,shiny,4.32
"Lily continued her journey and soon found herself at the edge of a big, blue ocean.",JOURNEY,7.67,trip,4.22
"The mother bird was so grateful that she rewarded Jack with a special treat: a colorful, puffy wing.",GRATEFUL,7.42,thankful,5.5
"Whiskers' eyes lit up as he saw the cookies, and he couldn't resist reaching out to grab one.",RESIST,9.28,avoid,8.5
"One day, while out on his usual patrol, Max stumbled upon a group of animals wearing bandannas around their necks.",USUAL,8.89,normal,5.53
proud of herself for being so clever and resourceful.,CLEVER,7.5,smart,5.5
"""Thank you for showing us how to appreciate art,"" said one of the robots.",APPRECIATE,8.8,admire,7.42
"Excited by her newfound power, Bella and Woody decided to go on a mission to protect the forest from any danger that might come their way.",MISSION,9.95,journey,7.67
"One day, a stormy wind picked up and the waves began to crash against the shore.",AGAINST,7.97,on,4.01
"Once upon a time, in a cozy little house, there was a fireplace that crackled and popped with warmth and light.",COZY,9.17,comfy,6.06
"He learned that if he made a certain sound for 20 seconds, the wolf would lose interest and wander away.",CERTAIN,8.2,special,5
"One day, while climbing down the stairwell, he stumbled and fell, getting a bit scraped up.",WHILE,7.06,when,4.24
And she went back to her den with a newfound appreciation for the power of the sky and the beauty of the world around us.,NEWFOUND,10.95,new,4.72
"One day, while she was playing in the park, she saw a taxicab drive by.",WHILE,7.06,when,4.24
